chromosome	start	end	state
chr1	4293000	4295000	NPC
chr1	4299000	4304000	NPC
chr1	4306000	4307000	NPC
chr1	4332000	4333000	NPC
chr1	4335000	4336000	NPC
chr1	4337000	4340000	NPC
chr1	4342000	4343000	NPC
chr1	4347000	4350000	NPC
chr1	4352000	4353000	NPC
chr1	4354000	4359000	NPC
chr1	4361000	4362000	NPC
chr1	4367000	4368000	NPC
chr1	4373000	4374000	NPC
chr1	4375000	4376000	NPC
chr1	4378000	4379000	NPC
chr1	4678000	4680000	ESC
chr1	5008000	5014000	ESC
chr1	5906000	5908000	ESC
chr1	6349000	6350000	ESC
chr1	6431000	6432000	ESC
chr1	9782000	9786000	ESC
chr1	9833000	9836000	ESC
chr1	12977000	12979000	ESC
chr1	13110000	13115000	ESC
chr1	14490000	14494000	ESC
chr1	15877000	15879000	ESC
chr1	16077000	16079000	ESC
chr1	21945000	21948000	ESC
chr1	22026000	22028000	NPC
chr1	22036000	22038000	NPC
chr1	22048000	22049000	NPC
chr1	22091000	22092000	NPC
chr1	22094000	22095000	NPC
chr1	22096000	22097000	NPC
chr1	22102000	22105000	NPC
chr1	22117000	22119000	NPC
chr1	22120000	22121000	NPC
chr1	22127000	22128000	NPC
chr1	22152000	22153000	NPC
chr1	22159000	22161000	NPC
chr1	22167000	22168000	NPC
chr1	22173000	22174000	NPC
chr1	22180000	22183000	NPC
chr1	22189000	22190000	NPC
chr1	22376000	22377000	NPC
chr1	22379000	22383000	NPC
chr1	22384000	22385000	NPC
chr1	22388000	22393000	NPC
chr1	22395000	22397000	NPC
chr1	22398000	22400000	NPC
chr1	22401000	22402000	NPC
chr1	22403000	22404000	NPC
chr1	22406000	22408000	NPC
chr1	22410000	22412000	NPC
chr1	22414000	22415000	NPC
chr1	22417000	22418000	NPC
chr1	22434000	22435000	NPC
chr1	22437000	22438000	NPC
chr1	22439000	22440000	NPC
chr1	22442000	22443000	NPC
chr1	22446000	22447000	NPC
chr1	22451000	22452000	NPC
chr1	23715000	23719000	ESC
chr1	24540000	24542000	ESC
chr1	28274000	28275000	NPC
chr1	28479000	28480000	NPC
chr1	28494000	28495000	NPC
chr1	28541000	28542000	NPC
chr1	28568000	28569000	NPC
chr1	28576000	28577000	NPC
chr1	28599000	28600000	NPC
chr1	28618000	28619000	NPC
chr1	28680000	28681000	NPC
chr1	28701000	28702000	NPC
chr1	28712000	28713000	NPC
chr1	28748000	28749000	NPC
chr1	28767000	28768000	NPC
chr1	28772000	28773000	NPC
chr1	28775000	28776000	NPC
chr1	28781000	28782000	NPC
chr1	28838000	28839000	NPC
